content_partner,primary_collection,items_total,usage,count,usage_total
Ministry for Culture and Heritage,The Encyclopedia of New Zealand 1966,6086,Modify,3943,6086
Ministry for Culture and Heritage,The Encyclopedia of New Zealand 1966,6086,Share,3943,6086
Ministry for Culture and Heritage,The Encyclopedia of New Zealand 1966,6086,All rights reserved,2143,6086
Ministry for Culture and Heritage,WW100 YouTube,71,All rights reserved,71,71
Ministry for the Environment,Ministry for the Environment Publications,1159,All rights reserved,1159,1159
Ministry of Fisheries Te Tautiaki i nga tini a Tangaroa,NABIS,652,All rights reserved,652,652
Ministry of Health,HealthEd Health Resources,1,All rights reserved,1,1
Ministry of Health,Ministry of Health Publications,1669,All rights reserved,1669,1669
Ministry of Health,Public Health Surveillance reports,262,All rights reserved,262,262
Ministry of Tourism Te Manatū Tāpoi,Tourism Research,105,All rights reserved,105,105
Mix & Mash 2011,Mix & Mash Literacy Category Content,16,Modify,16,16
Mix & Mash 2011,Mix & Mash Literacy Category Content,16,Share,16,16
Mix & Mash 2011,Mix & Mash Literacy Category Content,16,Use commercially,3,16
Motu Economic and Public Policy Research,Motu Economic and Public Policy Research,784,All rights reserved,784,784
Museum of New Zealand Te Papa Tongarewa,Museum of New Zealand Te Papa Tongarewa YouTube,707,All rights reserved,629,630
Museum of New Zealand Te Papa Tongarewa,Museum of New Zealand Te Papa Tongarewa YouTube,707,Modify,1,630
Museum of New Zealand Te Papa Tongarewa,Museum of New Zealand Te Papa Tongarewa YouTube,707,Share,1,630
Museum of New Zealand Te Papa Tongarewa,Museum of New Zealand Te Papa Tongarewa YouTube,707,Use commercially,1,630
Museum of New Zealand Te Papa Tongarewa,Te Papa Collections Online,205169,All rights reserved,109309,205169
Museum of New Zealand Te Papa Tongarewa,Te Papa Collections Online,205169,Share,95860,205169
Museum of New Zealand Te Papa Tongarewa,Te Papa Collections Online,205169,Modify,78388,205169
Museum of New Zealand Te Papa Tongarewa,Te Papa Collections Online,205169,Use commercially,78346,205169
Museums Victoria,Museums Victoria,2463,Modify,1946,2463
Museums Victoria,Museums Victoria,2463,Share,1946,2463
Museums Victoria,Museums Victoria,2463,Use commercially,1946,2463
Museums Victoria,Museums Victoria,2463,All rights reserved,517,2463
NIWA,NIWA YouTube,383,All rights reserved,310,383
NIWA,NIWA YouTube,383,Modify,73,383
NIWA,NIWA YouTube,383,Share,73,383
NIWA,NIWA YouTube,383,Use commercially,73,383
NZ Musician,NZ Musician,1003,All rights reserved,1003,1003
NZ On Screen,NZ On Screen,5556,All rights reserved,5119,5511
NZ On Screen,NZ On Screen,5556,Modify,392,5511
NZ On Screen,NZ On Screen,5556,Share,392,5511
NZEI Te Riu Roa (New Zealand Educational Institute),NZEI Heritage,5126,All rights reserved,3322,5126
NZEI Te Riu Roa (New Zealand Educational Institute),NZEI Heritage,5126,Share,1804,5126
NZEI Te Riu Roa (New Zealand Educational Institute),NZEI Heritage,5126,Modify,1802,5126
NZEI Te Riu Roa (New Zealand Educational Institute),NZEI Heritage,5126,Use commercially,1,5126
National Army Museum,National Army Museum,14035,Share,11918,14035
National Army Museum,National Army Museum,14035,All rights reserved,2117,14035
National Library of Australia,Digital Collections (Pictures),1762,All rights reserved,1762,1762
National Library of New Zealand,AnyQuestions,216,All rights reserved,216,216
National Library of New Zealand,AtoJsOnline,6747,Modify,6747,6747
National Library of New Zealand,AtoJsOnline,6747,Share,6747,6747
National Library of New Zealand,AtoJsOnline,6747,Use commercially,6747,6747
National Library of New Zealand,Canterbury Earthquake and Rebuild - Archived websites,135,All rights reserved,135,135
National Library of New Zealand,National Library of New Zealand Catalogue,97063,All rights reserved,97063,97063
National Library of New Zealand,National Library of New Zealand YouTube,130,Modify,110,130
National Library of New Zealand,National Library of New Zealand YouTube,130,Share,110,130
National Library of New Zealand,National Library of New Zealand YouTube,130,Use commercially,110,130
National Library of New Zealand,National Library of New Zealand YouTube,130,All rights reserved,20,130
National Library of New Zealand,Papers Past,26122911,Modify,24453026,26122911
National Library of New Zealand,Papers Past,26122911,Share,24453026,26122911
National Library of New Zealand,Papers Past,26122911,Use commercially,21117061,26122911
National Library of New Zealand,Papers Past,26122911,All rights reserved,1669885,26122911
NatureWatch NZ,NatureWatch NZ,1,Modify,1,1
NatureWatch NZ,NatureWatch NZ,1,Share,1,1
Nelson Photo News,Nelson Photo News,8222,Share,8222,8222
Nelson Provincial Museum,Nelson Provincial Museum,153109,All rights reserved,153109,153109
Nelson Provincial Museum,WW1 Profiles,73,All rights reserved,73,73
New Zealand Book Council,New Zealand Book Council,505,All rights reserved,505,505
New Zealand Cricket Museum,New Zealand Cricket Museum,1004,All rights reserved,1004,1004
New Zealand Electronic Text Collection,New Zealand Electronic Text Collection,42009,Share,28547,42009
New Zealand Electronic Text Collection,New Zealand Electronic Text Collection,42009,Modify,28313,42009
New Zealand Electronic Text Collection,New Zealand Electronic Text Collection,42009,Use commercially,28071,42009
New Zealand Electronic Text Collection,New Zealand Electronic Text Collection,42009,Unknown,8406,42009
New Zealand Electronic Text Collection,New Zealand Electronic Text Collection,42009,All rights reserved,5056,42009
New Zealand Fashion Museum,New Zealand Fashion Museum,1955,Modify,1045,1955
New Zealand Fashion Museum,New Zealand Fashion Museum,1955,Share,1045,1955
New Zealand Fashion Museum,New Zealand Fashion Museum,1955,All rights reserved,910,1955
New Zealand Film Commission,NZ On Screen,352,All rights reserved,352,352
New Zealand Journal of Forestry Science,New Zealand Journal of Forestry Science,94,Modify,53,94
New Zealand Journal of Forestry Science,New Zealand Journal of Forestry Science,94,Share,53,94
New Zealand Journal of Forestry Science,New Zealand Journal of Forestry Science,94,Use commercially,53,94
New Zealand Journal of Forestry Science,New Zealand Journal of Forestry Science,94,All rights reserved,41,94
New Zealand Maritime Museum,New Zealand Maritime Museum,1150,All rights reserved,1150,1150
New Zealand Medical Association,The New Zealand Medical Journal,3491,All rights reserved,3491,3491
New Zealand Plant Conservation Network,NZPCN E-Newsletters,196,All rights reserved,196,196
New Zealand Plant Conservation Network,New Zealand Plant Conservation Network,3323,All rights reserved,3323,3323
New Zealand Plant Conservation Network,New Zealand Regional Botanical Society Journals,2841,All rights reserved,2841,2841
New Zealand Portrait Gallery Te Pūkenga Whakaata,New Zealand Portrait Gallery NZMuseums,209,All rights reserved,209,209
New Zealand Taxation,New Zealand Taxation,723,All rights reserved,723,723
New Zealand Tertiary College,He Kupu,205,All rights reserved,205,205
New Zealand Tertiary College,Shared Repository,13,All rights reserved,13,13
Nga Manu Nature Reserve,Nga Manu Nature Reserve Flickr,851,All rights reserved,593,851
Nga Manu Nature Reserve,Nga Manu Nature Reserve Flickr,851,Share,258,851
Ngā Pae o te Māramatanga,MAI Journal,181,All rights reserved,181,181
Ngā Pae o te Māramatanga,Ngā Pae o te Māramatanga Media Centre,320,All rights reserved,320,320
Ngā Taonga Sound & Vision,Ngā Taonga Sound & Vision,7726,All rights reserved,7726,7726
Open Polytechnic,Open Polytechnic Repository,1742,All rights reserved,1742,1742
Otago Medical School Alumni Association,OMSAA Historical Artefacts,2302,All rights reserved,2302,2302
Our Wāhine,Our Wāhine,70,All rights reserved,70,70
PSA Journal,PSA Journal,1044,All rights reserved,1044,1044
Palmerston North City Library,Manawatū Heritage,18259,Share,14106,18259
Palmerston North City Library,Manawatū Heritage,18259,Modify,14099,18259
Palmerston North City Library,Manawatū Heritage,18259,Use commercially,12560,18259
Palmerston North City Library,Manawatū Heritage,18259,All rights reserved,4153,18259
Paul Spain,NZ Business Podcast,55,All rights reserved,55,55
Paul Spain,NZ Digital Podcast,10,All rights reserved,10,10
Paul Spain,NZ Tech Podcast,554,All rights reserved,554,554
Picture Australia,Digital Collections (Pictures),1762,All rights reserved,1762,1762
Plant & Food Research,Plant & Food Research YouTube,157,All rights reserved,157,157
Play It Strange,Play It Strange,754,All rights reserved,754,754
Powerhouse Museum,Powerhouse Museum,300,All rights reserved,300,300
Presbyterian Church of Aotearoa New Zealand,Presbyterian Research Centre,12276,Share,12276,12276
Presbyterian Church of Aotearoa New Zealand,Presbyterian Research Centre,12276,Modify,5,12276
Productivity Commission,Shared Repository,5,Modify,5,5
Productivity Commission,Shared Repository,5,Share,5,5
Productivity Commission,Shared Repository,5,Use commercially,5,5
Public Address,Public Address,5795,All rights reserved,5795,5795
Puke Ariki,Puke Ariki,141428,All rights reserved,141428,141428
Radio New Zealand,Radio New Zealand,738524,All rights reserved,738524,738524
Radio New Zealand,Radio New Zealand YouTube,5245,All rights reserved,5245,5245
Radio New Zealand,The Wireless,3646,All rights reserved,3646,3646
Radio New Zealand,The Wireless YouTube,479,All rights reserved,479,479
Raglan and District Museum,Raglan and District Museum NZMuseums,210,All rights reserved,210,210
Remuera Heritage,Remuera Heritage,295,Share,295,295
Reserve Bank of New Zealand,Reserve Bank of New Zealand,1738,All rights reserved,1738,1738
Reserve Bank of New Zealand,Reserve Bank of New Zealand NZMuseums,289,All rights reserved,289,289
Rotorua Museum of Art & History Te Whare Taonga o Te Arawa,Rotorua Museum of Art & History Te Whare Taonga o Te Arawa NZMuseums,290,All rights reserved,290,290
SOUNZ,SOUNZ,22944,All rights reserved,22944,22944
SPARC,Shared Repository,4,All rights reserved,4,4
Sarjeant Gallery Te Whare o Rehua Whanganui,Sarjeant Gallery Te Whare o Rehua Whanganui,4126,All rights reserved,2265,4126
Sarjeant Gallery Te Whare o Rehua Whanganui,Sarjeant Gallery Te Whare o Rehua Whanganui,4126,Modify,1861,4126
Sarjeant Gallery Te Whare o Rehua Whanganui,Sarjeant Gallery Te Whare o Rehua Whanganui,4126,Share,1861,4126
Sarjeant Gallery Te Whare o Rehua Whanganui,Sarjeant Gallery Te Whare o Rehua Whanganui,4126,Use commercially,1861,4126
Science Learning Hub,Science Learning Hub,4315,All rights reserved,4315,4315
Science Media Centre,Sciblogs,12704,All rights reserved,12704,12704
Science Media Centre,Science Media Centre,813,All rights reserved,813,813
Shantytown,Shantytown NZMuseums,21,All rights reserved,21,21
Silky Oak Museum,Silky Oak Museum NZMuseums,20,All rights reserved,20,20
Social Wellbeing Agency,The Hub,3817,Share,3817,3817
South Canterbury Museum,South Canterbury Museum,18126,Share,18126,18126
Stardome Observatory & Planetarium,Stardome Education Resources,67,Modify,67,67
Stardome Observatory & Planetarium,Stardome Education Resources,67,Share,67,67
Stardome Observatory & Planetarium,Stardome Education Resources,67,Use commercially,67,67
State Library of New South Wales,State Library of New South Wales Flickr,159,Modify,159,159
State Library of New South Wales,State Library of New South Wales Flickr,159,Share,159,159
State Library of New South Wales,State Library of New South Wales Flickr,159,Use commercially,159,159
State Library of Victoria,State Library of Victoria,1229,Modify,796,856
State Library of Victoria,State Library of Victoria,1229,Share,796,856
State Library of Victoria,State Library of Victoria,1229,Use commercially,796,856
State Library of Victoria,State Library of Victoria,1229,All rights reserved,48,856
State Library of Victoria,State Library of Victoria,1229,Unknown,12,856
TBHP Collective Holiday Memories,Collective Holiday Memories,50,All rights reserved,50,50
TV3,Newshub,31291,All rights reserved,31291,31291
TV3,tv3.co.nz,3684,All rights reserved,3684,3684
Tauranga City Libraries,Tauranga Memories,14842,Share,14823,14842
Tauranga City Libraries,Tauranga Memories,14842,Modify,10619,14842
Tauranga City Libraries,Tauranga Memories,14842,Use commercially,770,14842
Tauranga City Libraries,Tauranga Memories,14842,All rights reserved,19,14842
Te Aroha & Districts Museum,Te Aroha & Districts Museum NZMuseums,46,All rights reserved,46,46
Te Awamutu Online,Te Awamutu TV YouTube,163,All rights reserved,163,163
Te Ipukarea Research Institute,Te Ipukarea Research Institute - YouTube,94,All rights reserved,94,94
Te Manawa,Te Manawa NZMuseums,76,All rights reserved,76,76
Te Puni Kōkiri,Te Puni Kōkiri,316,All rights reserved,316,316
Television New Zealand,TVNZ,65271,All rights reserved,65271,65271
Television New Zealand,TVNZ OnDemand,5781,All rights reserved,5781,5781
The British Library,The British Library Flickr,2819,Modify,2819,2819
The British Library,The British Library Flickr,2819,Share,2819,2819
The British Library,The British Library Flickr,2819,Use commercially,2819,2819
The Dowse Art Museum,Shared Repository,50,All rights reserved,40,50
The Dowse Art Museum,Shared Repository,50,Modify,10,50
The Dowse Art Museum,Shared Repository,50,Share,10,50
The National Archives UK,The National Archives UK Flickr,100,Modify,100,100
The National Archives UK,The National Archives UK Flickr,100,Share,100,100
The National Archives UK,The National Archives UK Flickr,100,Use commercially,100,100
The New Zealand Nursing Education and Research Foundation,Nursing Education and Research Foundation - Nursing Oral Histories in NZ,308,Modify,308,308
The New Zealand Nursing Education and Research Foundation,Nursing Education and Research Foundation - Nursing Oral Histories in NZ,308,Share,308,308
The Phoenix Project,The Phoenix Project,62,All rights reserved,62,62
The Prow: ngā kōrero o te tau ihu,TheProw.org.nz,735,Share,735,735
The Spinoff,The Spinoff,18433,All rights reserved,18433,18433
The Treasury,National Infrastructure Unit,1,All rights reserved,1,1
The Treasury,The Treasury,535,All rights reserved,535,535
The University of Auckland Library,Anthropology Photographic Archive,53902,Share,44182,53902
The University of Auckland Library,Anthropology Photographic Archive,53902,All rights reserved,9720,53902
The University of Auckland Library,Archive of Māori and Pacific Music,662,Modify,662,662
The University of Auckland Library,Archive of Māori and Pacific Music,662,Share,662,662
The University of Auckland Library,Early New Zealand Books,5313,All rights reserved,5313,5313
The University of Auckland Library,Early New Zealand Statutes,7476,Modify,7476,7476
The University of Auckland Library,Early New Zealand Statutes,7476,Share,7476,7476
The University of Auckland Library,History of the University of Auckland,22400,Share,22320,22400
The University of Auckland Library,History of the University of Auckland,22400,All rights reserved,80,22400
The University of Auckland Library,Journal of the Polynesian Society,4745,All rights reserved,4745,4745
The University of Auckland Library,New Zealand Journal of History,2134,All rights reserved,2134,2134
The University of Auckland Library,ResearchSpace@Auckland,34178,All rights reserved,27133,34178
The University of Auckland Library,ResearchSpace@Auckland,34178,Share,7045,34178
The University of Auckland Library,ResearchSpace@Auckland,34178,Modify,5549,34178
The University of Auckland Library,ResearchSpace@Auckland,34178,Use commercially,2587,34178
The University of Auckland Library,The Bookshelf,4195,All rights reserved,4195,4195
Toitū Otago Settlers Museum,Toitū Otago Settlers Museum,50,All rights reserved,50,50
Toitū Otago Settlers Museum,Toitū Otago Settlers Museum NZMuseums,150,Modify,150,150
Toitū Otago Settlers Museum,Toitū Otago Settlers Museum NZMuseums,150,Share,150,150
Toitū Otago Settlers Museum,Toitū Otago Settlers Museum NZMuseums,150,Use commercially,150,150
Torpedo Bay Navy Museum,Navy Museum Medal Collection,186,All rights reserved,186,186
Tourism New Zealand,Tourism New Zealand,55,All rights reserved,55,55
Tourism New Zealand,Tourism New Zealand YouTube,673,All rights reserved,673,673
Trove,Trove,83289,All rights reserved,79907,83289
Trove,Trove,83289,Share,3382,83289
Trove,Trove,83289,Modify,3351,83289
Trove,Trove,83289,Use commercially,2488,83289
Tusk - Emergent Culture,Tusk - Emergent Culture,308,All rights reserved,308,308
UC Department of Art History and Theory,Illumination & Commemoration,123,Modify,123,123
UC Department of Art History and Theory,Illumination & Commemoration,123,Share,123,123
UC Department of Art History and Theory,Illumination & Commemoration,123,Use commercially,123,123
UC QuakeStudies,Becker Fraser Earthquake Photographs,12564,Modify,12564,12564
UC QuakeStudies,Becker Fraser Earthquake Photographs,12564,Share,12564,12564
UC QuakeStudies,QuakeStudies Repository,128977,All rights reserved,103034,128977
UC QuakeStudies,QuakeStudies Repository,128977,Share,25922,128977
UC QuakeStudies,QuakeStudies Repository,128977,Modify,10993,128977
UC QuakeStudies,QuakeStudies Repository,128977,Use commercially,1622,128977
UC QuakeStudies,QuakeStudies Repository,128977,Unknown,21,128977
UCOL Universal College of Learning,Shared Repository,9,All rights reserved,9,9
Unitec,Unitec Research Bank,3444,All rights reserved,3149,3444
Unitec,Unitec Research Bank,3444,Share,295,3444
Unitec,Unitec Research Bank,3444,Modify,154,3444
Unitec,Unitec Research Bank,3444,Use commercially,100,3444
University of Canterbury,The Rutherford Journal,32,All rights reserved,32,32
University of Canterbury Library,UC Research Repository,17740,All rights reserved,16697,17740
University of Canterbury Library,UC Research Repository,17740,Share,1043,17740
University of Canterbury Library,UC Research Repository,17740,Modify,1012,17740
University of Canterbury Library,UC Research Repository,17740,Use commercially,980,17740
University of Canterbury Library,University of Canterbury Digital Library,124,All rights reserved,124,124
University of Otago,Hocken Collections YouTube,60,All rights reserved,59,60
University of Otago,Hocken Collections YouTube,60,Modify,1,60
University of Otago,Hocken Collections YouTube,60,Share,1,60
University of Otago,Hocken Collections YouTube,60,Use commercially,1,60
University of Otago,Hocken Snapshop,32993,All rights reserved,32993,32993
University of Otago,Marsden Online Archive,599,Modify,599,599
University of Otago,Marsden Online Archive,599,Share,599,599
University of Otago,Media Studies 101,49,Modify,49,49
University of Otago,Media Studies 101,49,Share,49,49
University of Otago,Media Studies 101,49,Use commercially,49,49
University of Otago,Otago University Research Archive,9054,All rights reserved,8271,9054
University of Otago,Otago University Research Archive,9054,Share,783,9054
University of Otago,Otago University Research Archive,9054,Modify,377,9054
University of Otago,Otago University Research Archive,9054,Use commercially,302,9054
University of Otago,Otago University Research Heritage,4968,All rights reserved,4968,4968
University of Otago,Patterns for Fabric Anatomy Teaching Models,6,Modify,6,6
University of Otago,Patterns for Fabric Anatomy Teaching Models,6,Share,6,6
University of Otago,Special Collection's Incunabula,38,Modify,38,38
University of Otago,Special Collection's Incunabula,38,Share,38,38
University of Otago,Special Collection's Incunabula,38,Use commercially,38,38
University of Otago,University of Otago Library Exhibitions,25,All rights reserved,25,25
University of Waikato,Bishop Selwyn Collection of Early Māori Documents,180,Share,180,180
University of Waikato,British Parliamentary Papers,45,Modify,45,45
University of Waikato,British Parliamentary Papers,45,Share,45,45
University of Waikato,British Parliamentary Papers,45,Use commercially,45,45
University of Waikato,Conrad Coker papers,1,All rights reserved,1,1
University of Waikato,Historical Maps of the Waikato Region,237,Share,237,237
University of Waikato,Historical Photos of Waikato Rugby,75,Share,75,75
University of Waikato,Historical Photos of the Waikato and New Zealand,597,Share,597,597
University of Waikato,Illustrated London News: New Zealand,1963,Share,1963,1963
University of Waikato,Māori Postcards ca. 1890-1940,146,Share,146,146
University of Waikato,Publications,3,Share,3,3
University of Waikato,ResearchCommons@Waikato,12433,All rights reserved,11868,12431
University of Waikato,ResearchCommons@Waikato,12433,Share,563,12431
University of Waikato,ResearchCommons@Waikato,12433,Modify,511,12431
University of Waikato,ResearchCommons@Waikato,12433,Use commercially,379,12431
University of Waikato,Waikato Region Postcards,157,Share,157,157
University of Waikato,Waikato University Campus Photos,100,Share,100,100
Upper Hutt City Library,Historic Graffiti at Trentham Ranges,4485,All rights reserved,4485,4485
Upper Hutt City Library,Upper Hutt City Library Heritage Collections,27685,Share,24199,27685
Upper Hutt City Library,Upper Hutt City Library Heritage Collections,27685,Modify,24192,27685
Upper Hutt City Library,Upper Hutt City Library Heritage Collections,27685,All rights reserved,3486,27685
Upper Hutt City Library,Upper Hutt City Library Heritage Collections,27685,Use commercially,94,27685
Upper Hutt City Library,Upper Hutt Newspaper Archive,51184,Unknown,51184,51184
V.C. Browne & Son,V.C. Browne & Son NZ Aerial Photograph Collection,31461,All rights reserved,26870,31461
V.C. Browne & Son,V.C. Browne & Son NZ Aerial Photograph Collection,31461,Modify,4590,31461
V.C. Browne & Son,V.C. Browne & Son NZ Aerial Photograph Collection,31461,Share,4590,31461
V.C. Browne & Son,V.C. Browne & Son NZ Aerial Photograph Collection,31461,Use commercially,4590,31461
V.C. Browne & Son,V.C. Browne & Son NZ Aerial Photograph Collection,31461,Unknown,1,31461
Victoria University of Wellington,Archives@Victoria,271,All rights reserved,271,271
Victoria University of Wellington,New Zealand Electronic Text Collection,180504,Share,95503,180504
Victoria University of Wellington,New Zealand Electronic Text Collection,180504,Modify,95378,180504
Victoria University of Wellington,New Zealand Electronic Text Collection,180504,Use commercially,94014,180504
Victoria University of Wellington,New Zealand Electronic Text Collection,180504,All rights reserved,85000,180504
Victoria University of Wellington,New Zealand Electronic Text Collection,180504,Unknown,1,180504
Victoria University of Wellington,Open Access Victoria University of Wellington,1062,Share,748,1062
Victoria University of Wellington,Open Access Victoria University of Wellington,1062,All rights reserved,314,1062
Victoria University of Wellington,Open Access Victoria University of Wellington,1062,Modify,24,1062
Victoria University of Wellington,Open Access Victoria University of Wellington,1062,Use commercially,23,1062
Victoria University of Wellington,VUW ResearchArchive,9003,All rights reserved,8216,9003
Victoria University of Wellington,VUW ResearchArchive,9003,Share,787,9003
Victoria University of Wellington,VUW ResearchArchive,9003,Modify,423,9003
Victoria University of Wellington,VUW ResearchArchive,9003,Use commercially,317,9003
Victoria and Albert Museum,Victoria and Albert Museum,421,All rights reserved,421,421
Waikato Museum Te Whare Taonga o Waikato,Waikato Museum Te Whare Taonga o Waikato,5857,All rights reserved,5857,5857
Waikato Museum Te Whare Taonga o Waikato,Waikato Museum Te Whare Taonga o Waikato YouTube,80,All rights reserved,74,74
Waimakariri District Libraries,Kete Waimakariri,599,Modify,599,599
Waimakariri District Libraries,Kete Waimakariri,599,Share,599,599
Waimate Museum and Archives,Waimate Museum and Archives NZMuseums,181,Modify,181,181
Waimate Museum and Archives,Waimate Museum and Archives NZMuseums,181,Share,181,181
Waimate Museum and Archives,Waimate Museum and Archives NZMuseums,181,Use commercially,86,181
Waimate Museum and Archives,Waimate Museum and Archives PastPerfect,4795,Share,4795,4795
Wairarapa Archive,Picture Wairarapa,24238,Modify,24238,24238
Wairarapa Archive,Picture Wairarapa,24238,Share,24238,24238
Wairarapa Archive,Picture Wairarapa,24238,Use commercially,24238,24238
Wairarapa Library Service,Wairarapa Library Service Kete,723,Modify,582,723
Wairarapa Library Service,Wairarapa Library Service Kete,723,Share,582,723
Wairarapa Library Service,Wairarapa Library Service Kete,723,Use commercially,537,723
Wairarapa Library Service,Wairarapa Library Service Kete,723,All rights reserved,141,723
Waitaki District Council,Culture Waitaki,7586,Modify,7514,7586
Waitaki District Council,Culture Waitaki,7586,Share,7514,7586
Waitaki District Council,Culture Waitaki,7586,Use commercially,7514,7586
Waitaki District Council,Culture Waitaki,7586,All rights reserved,72,7586
Waitaki Museum & Archive,Waitaki Museum & Archive NZMuseums,17,Modify,17,17
Waitaki Museum & Archive,Waitaki Museum & Archive NZMuseums,17,Share,17,17
Waitaki Museum & Archive,Waitaki Museum & Archive NZMuseums,17,Use commercially,17,17
Waitangi Tribunal,Waitangi Tribunal,176,All rights reserved,176,176
Waitangi Tribunal Unit,Shared Repository,58,Share,58,58
Wallace Arts Trust,The James Wallace Arts Trust,9113,All rights reserved,9113,9113
Wanganui Collegiate School Museum,Wanganui Collegiate School Museum NZMuseums,283,All rights reserved,203,283
Wanganui Collegiate School Museum,Wanganui Collegiate School Museum NZMuseums,283,Modify,80,283
Wanganui Collegiate School Museum,Wanganui Collegiate School Museum NZMuseums,283,Share,80,283
Wanganui Collegiate School Museum,Wanganui Collegiate School Museum NZMuseums,283,Use commercially,80,283
Wellington City Council,Shared Repository,34,All rights reserved,34,34
Wellington City Libraries,The Cuba Street Memories Project,250,All rights reserved,205,250
Wellington City Libraries,The Cuba Street Memories Project,250,Share,45,250
Wellington City Libraries,The Cuba Street Memories Project,250,Modify,17,250
Wellington City Libraries,The Cuba Street Memories Project,250,Use commercially,9,250
Western Bay District Council,Western Bay Community Archives,849,Share,603,849
Western Bay District Council,Western Bay Community Archives,849,All rights reserved,246,849
Western Bay District Council,Western Bay Community Archives,849,Modify,134,849
Western Bay District Council,Western Bay Community Archives,849,Use commercially,100,849
Whanganui Regional Museum,Whanganui Regional Museum NZMuseums,33,All rights reserved,33,33
Whangarei Libraries,Whangarei Libraries,2662,All rights reserved,2662,2662
Whitireia Community Polytechnic,Shared Repository,35,All rights reserved,35,35
Wikipedia,Wikipedia,14020,Modify,14020,14020
Wikipedia,Wikipedia,14020,Share,14020,14020
Wikipedia,Wikipedia,14020,Use commercially,14020,14020
Young Ocean Explorers,Young Ocean Explorers,289,All rights reserved,289,289
data.govt.nz,data.govt.nz,27418,Share,22049,27418
data.govt.nz,data.govt.nz,27418,Modify,21994,27418
data.govt.nz,data.govt.nz,27418,Use commercially,21941,27418
data.govt.nz,data.govt.nz,27418,All rights reserved,4449,27418
data.govt.nz,data.govt.nz,27418,Unknown,920,27418
eqnz.chch.2010,Flickr,6111,Share,4236,6111
eqnz.chch.2010,Flickr,6111,Modify,4006,6111
eqnz.chch.2010,Flickr,6111,All rights reserved,1875,6111
eqnz.chch.2010,Flickr,6111,Use commercially,259,6111
iNaturalist NZ — Mātaki Taiao,iNaturalist NZ — Mātaki Taiao,527674,Share,476319,527674
iNaturalist NZ — Mātaki Taiao,iNaturalist NZ — Mātaki Taiao,527674,Modify,467782,527674
iNaturalist NZ — Mātaki Taiao,iNaturalist NZ — Mātaki Taiao,527674,Use commercially,172943,527674
iNaturalist NZ — Mātaki Taiao,iNaturalist NZ — Mātaki Taiao,527674,All rights reserved,51355,527674
mychillybin,mychillybin.co.nz,30553,All rights reserved,30553,30553
